segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
76,"So my mother said, “Well I don't know what I'm going to do.”",0.0,17.53,0.0,60.0,0.0,42.47
77,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”",15.48,80.41,0.0,100.0,-15.48,19.59
78,"They took all we had to, to pay the rent.",0.0,69.07,0.0,70.0,0.0,0.93
79,In that house you had to pay in advance.,7.14,36.08,0.0,40.0,-7.14,3.92
80,"And she said, “If they didn't want me there they should not have rented the house to me.",3.57,47.42,0.0,90.0,-3.57,42.58
81,Now the real estate agent should be accountable.”,2.38,30.93,0.0,60.0,-2.38,29.07
82,"So anyhow, she said to him, “Well I know one thing you can do.”",0.0,23.71,0.0,80.0,0.0,56.29
83,"And he says, “What's that?”",0.0,13.4,0.0,40.0,0.0,26.6
84,"She says, “You can take me home.”",33.33,61.86,0.0,50.0,-33.33,-11.86
85,"He said, “Take you home?”",1.19,20.62,0.0,30.0,-1.19,9.38
86,"She said, “Yes in the police patrol.”",30.95,52.58,0.0,40.0,-30.95,-12.58
87,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”,3.57,26.8,0.0,50.0,-3.57,23.2
88,And they had never come up with anybody like that.,3.57,18.56,0.0,40.0,-3.57,21.44
89,So they put us in the police patrol,3.57,73.2,0.0,50.0,-3.57,-23.2
90,and they took us home.,23.81,71.13,0.0,60.0,-23.81,-11.13
91,We weren't far from – from where it was – maybe Fifth street – from where we had moved.,4.76,30.93,0.0,40.0,-4.76,9.07
92,"And – course with the horses and the police patrol, and the clang –",4.76,37.11,0.0,30.0,-4.76,-7.11
93,they had a bell that clanged. Clang clang clang –,20.24,43.3,0.0,30.0,-20.24,-13.3
94,you know they told you about the trolley that went “Clang.”,0.0,26.8,0.0,30.0,0.0,3.2
95,"Well this police patrol that bell they had, it went “Clang clang clang.”",5.95,22.68,0.0,30.0,-5.95,7.32
96,And um all the neighbors came running out to see what was happening.,26.19,52.58,0.0,30.0,-26.19,-22.58
97,And of course they saw the man came around the back –,2.38,19.59,0.0,30.0,-2.38,10.41
98,"I can see it right now – from where he was sitting up front there where the horses came around,",0.0,20.62,0.0,30.0,0.0,9.38
99,and opened the door in the back.,3.57,27.84,0.0,30.0,-3.57,2.16
100,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.,3.57,29.9,0.0,30.0,-3.57,0.1
101,Well we got out of that police patrol –,0.0,24.74,0.0,30.0,0.0,5.26
102,Before the patrol ever left my mother turned,0.0,59.79,0.0,60.0,0.0,0.21
103,"and faced all those people that were standing around,",2.38,57.73,0.0,50.0,-2.38,-7.73
104,"and she says, “Why you're doing this to me I don't know.”",13.1,51.55,0.0,60.0,-13.1,8.45
105,"She says, “I know that I am different from you, color wise,",16.67,61.86,0.0,60.0,-16.67,-1.86
106,"but in every other respect I'm just the same as you are,",4.76,62.89,0.0,70.0,-4.76,7.11
107,and all I'm trying to do is provide a home for my family.”,11.9,47.42,0.0,70.0,-11.9,22.58
108,"She told them that they had rented the house,",7.14,46.39,0.0,70.0,-7.14,23.61
109,"she told them how much money she had paid,",3.57,44.33,0.0,50.0,-3.57,5.67
110,she had told them that was all the money she had.,3.57,53.61,0.0,70.0,-3.57,16.39
111,And they had paid that rent for a month.,10.71,56.7,0.0,70.0,-10.71,13.3
112,She knew she was going to be there for the month.,3.57,53.61,0.0,50.0,-3.57,-3.61
113,She did not know beyond the month.,1.19,58.76,0.0,80.0,-1.19,21.24
114,Whether they'd have enough money to pay it for the next month.,3.57,55.67,0.0,90.0,-3.57,34.33
115,But she knew they were going to be there for the month.,8.33,57.73,0.0,60.0,-8.33,2.27
116,"She said, “It is winter time and it is cold.",5.95,46.39,0.0,60.0,-5.95,13.61
117,And I cannot afford to be buying windows.”,9.52,43.3,0.0,60.0,-9.52,16.7
118,"“Now” she said, “Whoever threw the stones I don't know.",0.0,35.05,0.0,60.0,0.0,24.95
119,But you can all see what has happened.,1.19,35.05,0.0,60.0,-1.19,24.95
120,And now I'm telling you that we're going to be here for a month.,7.14,40.21,0.0,90.0,-7.14,49.79
121,So you might just as well make up your mind to that.,16.67,50.52,0.0,70.0,-16.67,19.48
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",25.0,74.23,10.0,80.0,-15.0,5.77
123,Well of course you know they didn't do that.,2.38,26.8,0.0,40.0,-2.38,13.2
124,They probably didn't have any money either.,3.57,18.56,0.0,30.0,-3.57,11.44
125,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick.",50.0,63.92,50.0,100.0,0.0,36.08
126,And the neighbors were as nice as anybody could ever have been.,41.67,71.13,50.0,100.0,8.33,28.87
127,When there was trouble they responded just like anyone else.,8.33,58.76,40.0,100.0,31.67,41.24
128,But that was our welcoming to the neighborhood.,5.95,18.56,0.0,80.0,-5.95,61.44
129,And it was terrible,3.57,17.53,0.0,50.0,-3.57,32.47
130,and it certainly was frightening for me.,9.52,9.28,0.0,40.0,-9.52,30.72
