segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
12,"I was the kid from the farm,",87,100,-13,13
48,'till we got to this cabin that they had rented way up there in the north woods.,75,88,-13,13
9,"But then after graduation when we all enrolled in school,",64,77,-13,13
11,and we became quite good friends.,68,55,13,13
116,"and said “THERE HE IS FELLOWS,",78,66,12,12
99,"Well there was nothing for me to do but run,",89,100,-11,11
119,"Now all this happened thirty years ago,",55,44,11,11
118,I'LL GO GET ANOTHER ONE!”,55,44,11,11
8,and so we were acquainted.,55,66,-11,11
10,"we found that the four of us were all now attending the same school,",77,88,-11,11
55,and ... got our groceries stored and everything.,33,22,11,11
71,"we've got to find a bear to take back home with us,",65,55,10,10
15,"they used to like to come out to the farm and hunt,",91,100,-9,9
66,we stayed right there in the old cabin.,42,33,9,9
97,"he just had no desires to have me in his territory,",53,44,9,9
39,I left them talk me into it.,53,44,9,9
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,85,77,8,8
5,we became friends after we all...,36,44,-8,8
117,"YOU SKIN HIM,",74,66,8,8
34,wasn't too hepped up on this at all.,52,44,8,8
108,"Man I was whipping down there just as hard as I could go,",52,44,8,8
56,And after we got to discussing it,48,55,-7,7
57,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,73,66,7,7
27,and hunting.,48,55,-7,7
84,and I go out bear hunting.,40,33,7,7
82,But I had agreed to play the game ...,59,66,-7,7
54,"and got set up in the cabin,",49,55,-6,6
29,one of them got the idea they'd like to go bear hunting up in Canada.,94,100,-6,6
110,"and they opened the door,",72,66,6,6
26,"they were always coming out to the farm,",49,55,-6,6
45,'till we got way up in the north woods.,49,44,5,5
104,"man he was gaining,",72,77,-5,5
103,"but that old bear,",70,66,4,4
88,"and finally I heard a noise,",62,66,-4,4
89,"and I turned around,",62,66,-4,4
73,"'cause too many people know we'd gone bear hunting,",73,77,-4,4
109,"and that old bear right on my tail,",48,44,4,4
90,"and there was the biggest old bear I'd ever seen in my life,",91,88,3,3
19,I never really enjoyed hunting.,80,77,3,3
42,"and we landed on a lake,",58,55,3,3
85,I didn't like this at all.,30,33,-3,3
93,"and pulled the trigger,",68,66,2,2
102,"and I thought I used to be pretty fast,",68,66,2,2
36,let alone bear hunting.,35,33,2,2
32,"and I couldn't find any real reason not to go,",54,55,-1,1
72,"or we're really going to get a bad time from the rest of the people,",78,77,1,1
107,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",87,88,-1,1
53,"So we got up there,",33,33,0,0
